dispatch_id,picker_name,order_id,warehouse_zone,items_picked,picking_errors,loading_bay,dispatch_time_minutes,status,error_type,bay_cost_per_hour,route_id
DSP-2000,Deepak Tiwari,ORD-10015,Z-C,12,0,Bay-2,26,Completed,,343.62,RT-12
DSP-2001,Naveen Gupta,ORD-10366,Z-F,7,0,Bay-5,27,In Progress,,160.03,RT-06
DSP-2002,Suresh Yadav,ORD-10489,Z-B,30,2,Bay-5,57,Pending,Wrong Zone Pick,319.29,RT-09
DSP-2003,Naveen Gupta,ORD-10375,Z-B,28,1,Bay-1,27,Completed,Incorrect Barcode Scan,308.13,RT-12
DSP-2004,Anil Sharma,ORD-10099,Z-E,30,0,Bay-2,19,Completed,,225.93,RT-04
DSP-2005,Ravi Shankar,ORD-10123,Z-H,24,2,Bay-4,19,Completed,Incorrect Barcode Scan,302.26,RT-03
DSP-2006,Pradeep Singh,ORD-10247,Z-D,15,0,Bay-2,26,Pending,,494.7,RT-01
DSP-2007,Vijay Prasad,ORD-10397,Z-G,22,0,Bay-2,27,Completed,,214.75,RT-06
DSP-2008,Suresh Yadav,ORD-10041,Z-G,14,0,Bay-2,26,Completed,,452.58,RT-10
DSP-2009,Manoj Kumar,ORD-10448,Z-H,1,0,Bay-4,16,In Progress,,384.55,RT-01
DSP-2010,Ravi Shankar,ORD-10051,Z-C,28,0,Bay-4,8,In Progress,,495.97,RT-11
DSP-2011,Naveen Gupta,ORD-10443,Z-G,29,0,Bay-2,20,In Progress,,196.57,RT-07
DSP-2012,Suresh Yadav,ORD-10172,Z-F,19,0,Bay-1,9,Completed,,468.29,RT-03
DSP-2013,Kiran Desai,ORD-10322,Z-H,24,1,Bay-3,55,In Progress,Wrong Zone Pick,173.38,RT-11
DSP-2014,Naveen Gupta,ORD-10042,Z-C,29,0,Bay-5,48,In Progress,,281.41,RT-05
DSP-2015,Saurabh Jain,ORD-10090,Z-E,25,0,Bay-3,56,Completed,,325.65,RT-11
DSP-2016,Deepak Tiwari,ORD-10260,Z-G,10,0,Bay-3,36,Pending,,116.77,RT-04
